Country;CO2;energyUse;population;continent
Luxembourg;21.33749008;8.342546548;507889;Europe
Brunei;22.96032621;8.308442796;393302;Asia
United Arab Emirates;22.30940485;8.271473929;8329453;Asia
Bahrain;19.17841873;7.753674609;1261319;Asia
Canada;14.6720161;7.379626041;34126173;North America
Oman;20.55621545;7.187670512;2943747;Asia
United States;17.50271785;7.164461668;309876170;North America
Finland;11.52722585;6.78721199;5367693;Europe
Norway;11.71008946;6.637364366;4891251;Europe
Singapore;2.657862567;6.455726949;5078961;Asia
Saudi Arabia;16.92060908;6.167943841;28090647;Asia
Australia;16.75230078;5.59322124;22162863;Oceania
Belgium;10.16952908;5.585583508;10929978;Europe
Sweden;5.598303369;5.468217424;9382297;Europe
Netherlands;10.95895573;5.020998479;16631571;Europe
Russia;12.17571588;4.943087775;143158099;Europe
Kazakhstan;15.5185722;4.59514931;16310624;Asia
Turkmenistan;10.52149662;4.225861985;5041995;Asia
New Zealand;7.222302602;4.166425203;4369027;Oceania
Estonia;13.67269636;4.154514271;1332089;Europe
Austria;7.969244347;4.033582085;8391986;Europe
France;5.753381167;4.030516521;62961136;Europe
Germany;9.05581625;4.003264295;80435307;Europe
Japan;9.251199185;3.898370613;127319802;Asia
Slovenia;7.55127245;3.520166378;2052480;Europe
Denmark;8.341948729;3.470398723;5550959;Europe
Switzerland;5.056288113;3.348752446;7830534;Europe
Slovak Republic;6.607508917;3.280465789;5406896;Europe
United Kingdom;7.954468702;3.254089194;62716684;Europe
Ireland;8.947851182;3.217686299;4617334;Europe
Libya;9.288532864;3.012969244;6265697;Africa
Israel;9.523527086;3.005364132;7420368;Asia
Belarus;6.483926031;2.922028978;9492122;Europe
Ukraine;6.706011127;2.844932648;45647497;Europe
Iran;7.726537146;2.816767718;74253373;Asia
Italy;6.709572975;2.81463883;59588007;Europe
Spain;5.852169145;2.772666849;46601492;Europe
South Africa;9.177268721;2.737815;51621594;Africa
Venezuela;6.961007434;2.668645765;28995745;South America
Poland;8.287696297;2.657011347;38574682;Europe
Hungary;5.066085583;2.566705697;10014633;Europe
Malaysia;7.632977838;2.557845693;28119500;Asia
Greece;7.633303302;2.440492287;11177509;Europe
Bulgaria;5.961127245;2.370149194;7407297;Europe
Cyprus;6.983513146;2.215189277;1103685;Europe
Portugal;4.904311763;2.213050887;10584837;Europe
Serbia;4.662841401;2.140986083;9059046;Europe
Lithuania;4.079699259;2.106958702;3122835;Europe
Malta;6.215062283;2.012930444;412064;Europe
Latvia;3.381644657;1.971292644;2090519;Europe
Hong Kong. China;5.144528714;1.951342143;6993570;Asia
Croatia;4.742244317;1.93194115;4316425;Europe
Argentina;4.466338068;1.846823755;41222875;South America
China;6.177530373;1.806757929;1340968737;Asia
Chile;4.221864198;1.806740429;17015048;South America
Bosnia and Herzegovina;8.276976967;1.703368138;3835258;Europe
Thailand;4.271486171;1.698856203;66692024;Asia
Romania;3.664555545;1.632155535;20298838;Europe
Mexico;3.911318575;1.570343239;118617542;North America
Uzbekistan;3.805251739;1.533040361;27739764;Asia
Lebanon;4.825751682;1.526087988;4337156;Asia
Turkey;4.095749975;1.445082463;72310416;Asia
Gabon;1.709773007;1.417600433;1541936;Africa
Macedonia. FYR;5.276066137;1.402312863;2062443;Europe
Brazil;2.152980753;1.362548955;198614208;South America
Azerbaijan;4.976935132;1.307459788;9099893;Europe
Montenegro;4.087686794;1.303488575;621952;Europe
Uruguay;1.972223822;1.24085469;3374414;South America
Jordan;3.364889204;1.19138763;6517912;Asia
Mongolia;4.176220062;1.188684257;2712657;Asia
Iraq;3.620173886;1.180264928;30868156;Asia
Algeria;3.480976541;1.138239293;36036159;Africa
Jamaica;2.611162916;1.130155793;2741253;North America
Botswana;2.607113465;1.127809681;2047831;Africa
Panama;2.73893271;1.072733037;3620506;North America
Syria;3.030434275;1.062966333;20720602;Asia
Costa Rica;1.667708761;0.997831027;4545273;North America
Cuba;3.407420343;0.975290858;11308133;North America
Tunisia;2.468832135;0.912808676;10639194;Africa
Egypt;2.52409946;0.903145591;82040994;Africa
Indonesia;1.809097873;0.866501897;241613126;Asia
Ecuador;2.256060986;0.836302542;14934692;South America
Armenia;1.364888442;0.790845103;2963496;Europe
Zimbabwe;0.749873483;0.764013773;13973897;Africa
Paraguay;0.786215652;0.741886961;6209877;South America
Bolivia;1.556418431;0.737362572;9918245;South America
Moldova;1.358752567;0.730655727;4084483;Europe
Angola;1.593917842;0.716493504;21219954;Africa
Nigeria;0.49805211;0.713614413;159424742;Africa
Guatemala;0.772631051;0.712762569;14732261;North America
Namibia;1.390683936;0.702487946;2193643;Africa
Georgia;1.433896323;0.700294871;4250132;Europe
Colombia;1.634580982;0.696299054;45918101;South America
Vietnam;1.709944894;0.681374729;88357775;Asia
El Salvador;1.008882135;0.676915831;6038306;North America
Peru;1.980086195;0.667131119;29373644;South America
Albania;1.336544035;0.648290851;2901883;Europe
Zambia;0.185454433;0.627806377;13917439;Africa
Honduras;1.066636985;0.600942909;7503875;North America
India;1.640222788;0.565638498;1230984504;Asia
Nicaragua;0.785511166;0.541996312;5737722;North America
Morocco;1.583769339;0.51666593;32107739;Africa
Pakistan;0.929649496;0.487315591;170043918;Asia
Cote d'Ivoire;0.29407195;0.484934441;20131707;Africa
Kenya;0.306726998;0.48285722;40328313;Africa
Sri Lanka;0.609237667;0.47789188;20201312;Asia
Tanzania;0.152664574;0.447758966;45648525;Africa
Togo;0.255483014;0.446093582;6390851;Africa
Mozambique;0.123211019;0.435970136;24321457;Africa
Philippines;0.874786996;0.434016306;93038902;Asia
Benin;0.586259508;0.412814077;9509798;Africa
Ethiopia;0.07828454;0.400264686;87561814;Africa
Ghana;0.368894117;0.382195173;24317734;Africa
Sudan;0.415146789;0.370931642;36114885;Africa
Congo. Rep.;0.501537799;0.363456767;4066078;Africa
Cameroon;0.369119563;0.362718519;20590666;Africa
Congo. Dem. Rep.;0.046079437;0.360174224;65938712;Africa
Cambodia;0.295651762;0.355372357;14363586;Asia
Nepal;0.125325313;0.341061245;26875910;Asia
Tajikistan;0.415780045;0.335518359;7581696;Asia
Myanmar;0.187526449;0.29183578;51733013;Asia
Senegal;0.56767635;0.271973538;12956791;Africa
Haiti;0.212076549;0.228983533;9999617;North America
Bangladesh;0.377610209;0.208842531;151616777;Asia
Eritrea;0.097709363;0.14171582;4689664;Africa
