date;average;minimum;maximum
20161101;117;99;142
20161102;105;85;125
20161103;98;78;115
20161104;84;71;107
20161105;86;71;108
20161106;81;61;94
20161107;48;0;70
20161108;26;-16;67
20161109;41;29;51
20161110;57;40;83
20161111;29;-17;76
20161112;33;-8;56
20161113;48;10;64
20161114;56;8;88
20161115;120;87;132
20161116;118;86;137
20161117;96;79;112
20161118;68;45;89
20161119;62;49;86
20161120;80;56;105
20161121;117;78;134
20161122;108;79;127
20161123;85;72;103
20161124;76;51;96
20161125;49;10;86
20161126;28;-5;83
20161127;81;45;104
20161128;19;-13;55
20161129;-5;-43;47
20161130;66;-4;92
