date;average;minimum;maximum
20161101;92;56;147
20161102;74;33;121
20161103;74;28;120
20161104;79;68;98
20161105;74;42;111
20161106;68;26;103
20161107;49;8;69
20161108;16;-24;46
20161109;32;6;44
20161110;42;25;52
20161111;26;-21;61
20161112;24;-18;52
20161113;36;-3;53
20161114;37;-12;76
20161115;112;76;134
20161116;120;92;141
20161117;91;68;113
20161118;62;30;88
20161119;55;42;87
20161120;77;47;107
20161121;116;73;138
20161122;102;53;130
20161123;83;48;107
20161124;69;39;88
20161125;44;8;71
20161126;24;-24;73
20161127;69;27;97
20161128;10;-23;48
20161129;-14;-56;44
20161130;36;-50;96
